hotel,is_canceled,lead_time,arrival_date_week_number,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,deposit_type,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,arrival_date,year_res_status_date,month_res_status_date,day_res_status_date,reservation_status_day
City Hotel,1,82,29,0,3,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,76.5,0,0,processed,2015-07-16,2015,7,16,2015-08-01
City Hotel,1,274,29,2,2,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,No Deposit,Transient-Party,62.0,0,0,processed,2015-07-18,2015,7,6,2015-08-01
Resort Hotel,1,49,30,3,6,2,0.0,0,FB,Offline TA/TO,TA/TO,0,0,0,D,No Deposit,Transient,111.2,0,0,processed,2015-07-20,2015,6,1,2015-08-01
Resort Hotel,0,8,28,0,4,3,2.0,0,BB,Online TA,TA/TO,0,0,0,H,No Deposit,Transient,193.0,0,1,processed,2015-07-07,2015,7,11,2015-08-01
City Hotel,1,92,27,2,4,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,76.5,0,2,processed,2015-07-01,2015,6,23,2015-08-01
Resort Hotel,0,49,31,1,5,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,118.17,0,0,processed,2015-07-27,2015,8,2,2015-08-01
City Hotel,1,151,30,2,1,2,0.0,0,HB,Groups,TA/TO,0,1,0,A,Non Refund,Transient-Party,86.0,0,0,processed,2015-07-25,2015,7,9,2015-08-01
City Hotel,1,110,30,2,1,2,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Transient-Party,94.5,0,0,processed,2015-07-25,2015,7,16,2015-08-01
City Hotel,1,279,30,0,2,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,No Deposit,Contract,62.0,0,0,processed,2015-07-23,2015,1,1,2015-08-01
City Hotel,1,85,30,2,3,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,76.5,0,0,processed,2015-07-24,2015,5,20,2015-08-01
City Hotel,1,286,31,0,2,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,Non Refund,Contract,62.0,0,0,processed,2015-07-30,2015,1,1,2015-08-01
Resort Hotel,1,256,31,3,6,2,2.0,0,BB,Online TA,TA/TO,0,1,0,G,No Deposit,Transient-Party,199.0,0,1,processed,2015-08-01,2015,7,27,2015-08-01
Resort Hotel,0,109,27,2,6,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,123.0,0,1,processed,2015-07-04,2015,7,12,2015-08-01
City Hotel,1,265,28,0,2,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,No Deposit,Contract,62.0,0,0,processed,2015-07-09,2015,1,1,2015-08-01
City Hotel,1,272,29,0,2,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,No Deposit,Contract,62.0,0,0,processed,2015-07-16,2015,1,1,2015-08-01
Resort Hotel,1,80,31,4,6,2,2.0,0,BB,Online TA,TA/TO,0,0,0,C,No Deposit,Transient,169.0,0,1,processed,2015-08-01,2015,7,21,2015-08-01
Resort Hotel,1,16,30,1,1,2,0.0,0,BB,Direct,Direct,0,0,0,A,No Deposit,Transient,134.0,0,0,processed,2015-07-25,2015,7,23,2015-08-01
City Hotel,1,273,29,0,2,2,0.0,0,HB,Offline TA/TO,TA/TO,0,1,0,A,No Deposit,Transient-Party,101.5,0,0,processed,2015-07-17,2015,7,6,2015-08-01
Resort Hotel,0,8,29,2,5,2,0.0,0,HB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,168.57,0,1,processed,2015-07-14,2015,7,21,2015-08-01
Resort Hotel,0,107,27,2,5,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,110.7,0,2,processed,2015-07-02,2015,7,9,2015-08-01
Resort Hotel,0,91,29,1,2,2,1.0,0,BB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,118.5,0,3,processed,2015-07-17,2015,7,20,2015-08-01
City Hotel,1,279,30,0,2,2,0.0,0,BB,Groups,TA/TO,1,1,0,A,No Deposit,Transient-Party,62.8,0,0,processed,2015-07-23,2014,10,17,2015-08-01
Resort Hotel,0,4,30,2,0,2,0.0,0,BB,Online TA,TA/TO,0,0,0,E,No Deposit,Transient,154.5,1,2,processed,2015-07-19,2015,7,21,2015-08-01
City Hotel,1,89,31,1,1,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,76.5,0,0,processed,2015-07-27,2015,7,6,2015-08-01
Resort Hotel,0,20,31,1,3,2,1.0,0,BB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,193.0,0,1,processed,2015-07-30,2015,8,3,2015-08-01
City Hotel,1,262,28,1,1,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,No Deposit,Contract,62.0,0,0,processed,2015-07-06,2015,1,1,2015-08-01
City Hotel,1,279,30,0,2,2,0.0,0,BB,Groups,TA/TO,1,1,0,A,No Deposit,Transient-Party,62.8,0,0,processed,2015-07-23,2014,10,17,2015-08-01
Resort Hotel,1,231,28,2,6,2,0.0,0,BB,Online TA,TA/TO,0,1,0,A,No Deposit,Transient,110.7,0,0,processed,2015-07-07,2015,3,17,2015-08-01
Resort Hotel,0,1,27,1,1,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,114.5,0,0,processed,2015-07-04,2015,7,6,2015-08-01
City Hotel,1,265,28,0,2,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,No Deposit,Contract,62.0,0,0,processed,2015-07-09,2015,1,1,2015-08-01
