is_canceled,lead_time,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,adr,required_car_parking_spaces,total_of_special_requests,year_res_status_date,month_res_status_date,day_res_status_date,hotel_City Hotel,hotel_Resort Hotel,meal_BB,meal_FB,meal_HB,meal_SC,meal_Undefined,market_segment_Aviation,market_segment_Complementary,market_segment_Corporate,market_segment_Direct,market_segment_Groups,market_segment_Offline TA/TO,market_segment_Online TA,distribution_channel_Corporate,distribution_channel_Direct,distribution_channel_GDS,distribution_channel_TA/TO,reserved_room_type_A,reserved_room_type_B,reserved_room_type_C,reserved_room_type_D,reserved_room_type_E,reserved_room_type_F,reserved_room_type_G,reserved_room_type_H,deposit_type_No Deposit,deposit_type_Non Refund,deposit_type_Refundable,customer_type_Contract,customer_type_Group,customer_type_Transient,customer_type_Transient-Party
0.0,0.32273449920508746,0.9230769230769231,0.03333333333333333,0.16666666666666666,0.16666666666666666,0.03636363636363636,0.0,0.0,0.0,0.0,0.0,0.14795127353266888,0.0,0.0,0.6666666666667425,0.9999999999999999,0.26666666666666666,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,0.13036565977742448,0.5384615384615384,0.5,0.0,0.1,0.03636363636363636,0.0,0.0,0.0,0.0,0.0,0.16943521594684385,0.0,0.0,0.33333333333337123,0.5454545454545454,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0397456279809221,1.0000000000000002,0.8666666666666667,0.0,0.1,0.05454545454545454,0.0,0.0,0.0,0.0,0.0,0.13289036544850497,0.0,0.2,0.6666666666667425,0.9999999999999999,0.9666666666666667,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.001589825119236884,0.19230769230769235,0.26666666666666666,0.0,0.03333333333333333,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.2104097452934662,0.0,0.0,0.6666666666667425,0.1818181818181818,0.3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.11128775834658189,0.2884615384615385,0.5,0.16666666666666666,0.06666666666666667,0.03636363636363636,0.0,0.0,0.0,0.0,0.0,0.23920265780730895,0.0,0.0,1.0,0.2727272727272727,0.6333333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.2702702702702703,0.3076923076923077,0.8666666666666667,0.0,0.1,0.03636363636363636,0.0,0.0,0.0,0.0,0.0,0.28903654485049834,0.0,0.0,1.0,0.2727272727272727,0.9666666666666667,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,0.033386327503974564,0.17307692307692307,0.1,0.0,0.03333333333333333,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.18826135105204872,0.0,0.0,0.6666666666667425,0.09090909090909091,0.8333333333333334,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.16216216216216217,0.7884615384615384,0.5,0.0,0.06666666666666667,0.03636363636363636,0.0,0.0,0.0,0.0,0.0,0.2414174972314507,0.0,0.0,0.33333333333337123,0.8181818181818182,0.5666666666666667,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.08744038155802862,0.8846153846153846,0.6,0.16666666666666666,0.16666666666666666,0.03636363636363636,0.0,0.0,0.0,0.0,0.0,0.14936877076411958,0.0,0.0,0.6666666666667425,0.9090909090909091,0.8333333333333334,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.35294117647058826,0.7115384615384616,0.43333333333333335,0.08333333333333333,0.03333333333333333,0.03636363636363636,0.0,0.0,0.0,0.0,0.0,0.17718715393133996,0.0,0.0,0.33333333333337123,0.7272727272727273,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
